"Location ","Value ","95% Confidence Interval","Sample Size "
"Alabama","19.5%","15.7% - 23.9%","570"
"Alaska","17.2%","13.6% - 21.5%","739"
"Arizona","22.1%","19.3% - 25.2%","1,397"
"Arkansas","23.0%","18.7% - 27.9%","490"
"California","21.3%","18.2% - 24.9%","870"
"Colorado","17.6%","15.6% - 19.9%","1,562"
"Connecticut","18.3%","15.4% - 21.5%","1,229"
"Delaware","15.2%","11.4% - 20.0%","465"
"District of Columbia","13.2%","9.5% - 18.0%","372"
"Florida","Results unavailable","Results unavailable","Results unavailable"
"Georgia","20.1%","16.8% - 23.8%","985"
"Guam","27.1%","18.1% - 38.4%","248"
"Hawaii","19.0%","16.0% - 22.5%","1,015"
"Idaho","13.6%","11.2% - 16.5%","924"
"Illinois","14.4%","10.7% - 19.1%","417"
"Indiana","18.0%","15.8% - 20.4%","1,365"
"Iowa","22.7%","20.0% - 25.6%","1,295"
"Kansas","17.2%","15.3% - 19.3%","2,374"
"Kentucky","18.6%","14.9% - 22.9%","739"
"Louisiana","27.0%","23.1% - 31.2%","722"
"Maine","11.0%","9.1% - 13.4%","1,473"
"Maryland","18.2%","16.0% - 20.6%","2,150"
"Massachusetts","16.1%","13.7% - 18.8%","1,165"
"Michigan","18.0%","15.5% - 20.7%","1,222"
"Minnesota","18.7%","16.9% - 20.7%","2,286"
"Mississippi","21.1%","17.3% - 25.5%","561"
"Missouri","16.4%","14.0% - 19.2%","1,585"
"Montana","16.8%","13.9% - 20.2%","732"
"National","19.7%","19.0% - 20.5%","56,720"
"Nebraska","20.3%","17.7% - 23.0%","1,762"
"Nevada","18.7%","13.8% - 25.0%","383"
"New Hampshire","15.8%","12.8% - 19.3%","712"
"New Jersey","22.2%","19.2% - 25.6%","1,113"
"New Mexico","21.3%","17.8% - 25.4%","840"
"New York","20.1%","18.3% - 22.1%","4,731"
"North Carolina","16.9%","14.0% - 20.2%","785"
"North Dakota","20.6%","17.4% - 24.3%","682"
"Ohio","20.0%","17.5% - 22.8%","1,886"
"Oklahoma","19.1%","15.4% - 23.4%","612"
"Oregon","13.0%","10.7% - 15.7%","793"
"Pennsylvania","18.8%","16.0% - 22.0%","977"
"Puerto Rico","43.6%","38.7% - 48.5%","674"
"Rhode Island","17.6%","14.6% - 21.1%","775"
"South Carolina","19.9%","17.0% - 23.2%","1,186"
"South Dakota","16.5%","12.4% - 21.5%","951"
"Tennessee","14.7%","11.6% - 18.5%","701"
"Texas","25.6%","21.7% - 30.0%","1,517"
"Utah","18.9%","16.7% - 21.4%","1,581"
"Vermont","13.1%","10.3% - 16.4%","924"
"Virgin Islands","39.8%","16.4% - 69.0%","227"
"Virginia","18.4%","15.6% - 21.5%","1,265"
"Washington","18.7%","16.4% - 21.2%","1,631"
"West Virginia","17.8%","15.2% - 20.8%","964"
"Wisconsin","23.2%","19.1% - 27.9%","761"
"Wyoming","16.8%","13.2% - 21.3%","484"
