"Location ","Value ","95% Confidence Interval","Sample Size "
"Alabama","20.3%","15.8% - 25.7%","410"
"Alaska","19.5%","15.5% - 24.1%","566"
"Arizona","20.5%","17.4% - 24.0%","893"
"Arkansas","21.6%","16.1% - 28.3%","232"
"California","21.8%","18.7% - 25.3%","948"
"Colorado","18.9%","16.8% - 21.3%","1,334"
"Connecticut","22.8%","19.0% - 27.1%","777"
"Delaware","24.1%","19.1% - 30.1%","322"
"District of Columbia","15.3%","11.5% - 20.1%","390"
"Florida","Results unavailable","Results unavailable","Results unavailable"
"Georgia","18.2%","14.5% - 22.6%","592"
"Guam","32.3%","22.7% - 43.7%","214"
"Hawaii","22.4%","18.7% - 26.5%","765"
"Idaho","17.5%","14.5% - 21.1%","729"
"Illinois","17.5%","13.2% - 22.8%","388"
"Indiana","21.8%","18.8% - 25.1%","866"
"Iowa","22.0%","18.9% - 25.4%","909"
"Kansas","19.2%","17.2% - 21.4%","1,737"
"Kentucky","21.2%","17.0% - 26.1%","528"
"Louisiana","21.4%","17.0% - 26.7%","400"
"Maine","13.5%","10.5% - 17.0%","814"
"Maryland","19.9%","17.1% - 23.1%","1,176"
"Massachusetts","17.7%","14.6% - 21.4%","941"
"Michigan","20.4%","17.2% - 24.0%","780"
"Minnesota","21.3%","19.1% - 23.6%","1,588"
"Mississippi","23.3%","18.6% - 28.9%","422"
"Missouri","18.8%","15.9% - 22.0%","1,221"
"Montana","18.8%","15.2% - 23.0%","575"
"National","20.8%","20.1% - 21.6%","39,503"
"Nebraska","21.5%","18.8% - 24.4%","1,404"
"Nevada","25.3%","19.0% - 32.8%","271"
"New Hampshire","17.6%","13.3% - 22.9%","322"
"New Jersey","24.0%","20.7% - 27.7%","817"
"New Mexico","20.4%","16.5% - 25.0%","682"
"New York","24.1%","22.0% - 26.5%","3,031"
"North Carolina","17.5%","14.2% - 21.2%","655"
"North Dakota","23.6%","19.6% - 28.1%","469"
"Ohio","17.0%","14.4% - 20.0%","1,190"
"Oklahoma","21.1%","17.0% - 25.9%","459"
"Oregon","18.7%","15.5% - 22.5%","644"
"Pennsylvania","20.3%","16.7% - 24.5%","742"
"Puerto Rico","43.3%","37.7% - 49.0%","510"
"Rhode Island","20.3%","16.5% - 24.7%","528"
"South Carolina","22.4%","18.1% - 27.3%","571"
"South Dakota","18.1%","13.0% - 24.5%","605"
"Tennessee","18.8%","14.6% - 23.7%","532"
"Texas","25.1%","21.1% - 29.5%","1,196"
"Utah","19.1%","16.7% - 21.7%","1,285"
"Vermont","15.9%","12.0% - 20.8%","466"
"Virgin Islands","39.2%","26.2% - 54.0%","118"
"Virginia","16.7%","13.7% - 20.2%","815"
"Washington","21.9%","19.3% - 24.8%","1,207"
"West Virginia","17.1%","13.9% - 20.8%","576"
"Wisconsin","21.0%","16.8% - 25.8%","493"
"Wyoming","23.7%","18.2% - 30.3%","240"
