"Location ","Value ","95% Confidence Interval","Sample Size "
"Alabama","16.7%","12.9% - 21.3%","499"
"Alaska","15.0%","11.4% - 19.4%","671"
"Arizona","21.8%","18.9% - 25.1%","1,201"
"Arkansas","17.2%","13.2% - 22.1%","373"
"California","19.8%","17.0% - 23.0%","940"
"Colorado","17.2%","15.3% - 19.4%","1,548"
"Connecticut","17.1%","14.1% - 20.5%","998"
"Delaware","20.4%","15.6% - 26.1%","397"
"District of Columbia","14.8%","10.8% - 19.9%","431"
"Florida","Results unavailable","Results unavailable","Results unavailable"
"Georgia","14.9%","11.7% - 18.7%","729"
"Guam","20.4%","13.2% - 30.1%","220"
"Hawaii","22.5%","19.2% - 26.1%","982"
"Idaho","14.2%","11.5% - 17.4%","889"
"Illinois","14.6%","10.6% - 19.7%","395"
"Indiana","20.1%","17.4% - 23.1%","993"
"Iowa","22.9%","20.0% - 26.0%","1,144"
"Kansas","15.4%","13.7% - 17.3%","2,166"
"Kentucky","12.3%","9.6% - 15.5%","611"
"Louisiana","21.4%","17.6% - 25.7%","587"
"Maine","10.8%","8.7% - 13.4%","1,181"
"Maryland","17.9%","15.6% - 20.5%","1,698"
"Massachusetts","14.6%","12.1% - 17.5%","1,070"
"Michigan","15.6%","12.8% - 18.8%","931"
"Minnesota","18.3%","16.4% - 20.3%","2,119"
"Mississippi","18.4%","14.0% - 23.7%","463"
"Missouri","19.5%","16.4% - 23.1%","1,399"
"Montana","11.2%","8.7% - 14.2%","690"
"National","17.8%","17.2% - 18.6%","49,196"
"Nebraska","18.6%","16.2% - 21.2%","1,691"
"Nevada","22.4%","16.3% - 30.0%","301"
"New Hampshire","12.3%","8.9% - 16.6%","428"
"New Jersey","18.4%","15.7% - 21.5%","992"
"New Mexico","19.5%","16.1% - 23.3%","839"
"New York","19.1%","17.2% - 21.1%","3,703"
"North Carolina","14.1%","11.3% - 17.5%","699"
"North Dakota","21.6%","18.0% - 25.7%","588"
"Ohio","15.3%","13.0% - 17.9%","1,572"
"Oklahoma","17.6%","14.2% - 21.5%","632"
"Oregon","13.5%","11.1% - 16.3%","865"
"Pennsylvania","16.4%","13.1% - 20.4%","830"
"Puerto Rico","39.7%","34.4% - 45.2%","571"
"Rhode Island","18.1%","14.5% - 22.3%","601"
"South Carolina","18.7%","15.4% - 22.4%","841"
"South Dakota","18.9%","13.6% - 25.7%","868"
"Tennessee","18.0%","14.1% - 22.7%","589"
"Texas","21.6%","18.2% - 25.5%","1,412"
"Utah","17.9%","15.8% - 20.2%","1,656"
"Vermont","11.7%","8.9% - 15.2%","695"
"Virgin Islands","24.7%","14.6% - 38.6%","120"
"Virginia","15.5%","12.9% - 18.4%","1,026"
"Washington","16.1%","14.0% - 18.6%","1,509"
"West Virginia","14.2%","11.5% - 17.4%","721"
"Wisconsin","16.5%","13.0% - 20.7%","641"
"Wyoming","17.8%","13.8% - 22.8%","392"
