"Location ","Value ","95% Confidence Interval","Sample Size "
"Alabama","24.7%","18.3% - 32.6%","219"
"Alaska","27.4%","20.7% - 35.4%","250"
"Arizona","26.3%","22.2% - 30.9%","559"
"Arkansas","23.0%","16.4% - 31.2%","157"
"California","32.3%","27.5% - 37.6%","562"
"Colorado","26.9%","23.1% - 31.0%","594"
"Connecticut","32.6%","26.8% - 39.1%","401"
"Delaware","35.9%","27.3% - 45.5%","167"
"District of Columbia","36.9%","24.9% - 50.8%","75"
"Florida","Results unavailable","Results unavailable","Results unavailable"
"Georgia","26.0%","20.4% - 32.6%","341"
"Guam","38.2%","27.7% - 49.8%","127"
"Hawaii","30.2%","25.3% - 35.6%","460"
"Idaho","24.7%","20.1% - 30.0%","382"
"Illinois","24.4%","17.7% - 32.6%","239"
"Indiana","29.4%","24.7% - 34.5%","436"
"Iowa","31.0%","26.7% - 35.6%","697"
"Kansas","28.8%","25.6% - 32.3%","932"
"Kentucky","22.9%","17.8% - 28.9%","305"
"Louisiana","34.4%","27.3% - 42.1%","241"
"Maine","18.9%","14.5% - 24.3%","388"
"Maryland","28.7%","24.2% - 33.7%","593"
"Massachusetts","23.8%","19.8% - 28.3%","623"
"Michigan","27.5%","23.0% - 32.6%","440"
"Minnesota","29.8%","26.3% - 33.5%","920"
"Mississippi","27.4%","21.1% - 34.7%","245"
"Missouri","25.4%","21.3% - 30.0%","805"
"Montana","25.8%","20.6% - 31.9%","307"
"National","28.0%","26.8% - 29.2%","21,648"
"Nebraska","28.7%","25.2% - 32.4%","867"
"Nevada","31.3%","23.7% - 40.1%","173"
"New Hampshire","23.2%","17.0% - 30.9%","163"
"New Jersey","28.2%","23.2% - 33.8%","452"
"New Mexico","25.2%","20.3% - 30.8%","385"
"New York","27.6%","24.5% - 30.9%","1,606"
"North Carolina","26.6%","21.1% - 32.9%","294"
"North Dakota","32.5%","27.1% - 38.4%","325"
"Ohio","28.9%","24.8% - 33.4%","697"
"Oklahoma","27.7%","21.9% - 34.2%","247"
"Oregon","26.2%","21.4% - 31.7%","326"
"Pennsylvania","26.9%","22.1% - 32.4%","467"
"Puerto Rico","53.9%","46.3% - 61.3%","273"
"Rhode Island","29.0%","22.3% - 36.6%","229"
"South Carolina","31.2%","25.1% - 38.0%","281"
"South Dakota","25.1%","17.4% - 34.8%","324"
"Tennessee","27.2%","21.1% - 34.3%","249"
"Texas","28.9%","23.3% - 35.2%","617"
"Utah","25.3%","21.9% - 29.1%","767"
"Vermont","16.0%","10.5% - 23.6%","214"
"Virgin Islands","40.6%","25.1% - 58.3%","65"
"Virginia","27.2%","22.2% - 32.7%","437"
"Washington","28.4%","24.0% - 33.2%","518"
"West Virginia","21.0%","16.2% - 26.9%","257"
"Wisconsin","24.1%","18.4% - 31.0%","295"
"Wyoming","23.2%","16.4% - 31.8%","120"
